Date Entered,Time Entered,Date Due,Time Due,Type,Priority,Description,Contact,Comments,Date Complete,Time Complete,Status
2015/01/09,15:39:28,2015/01/20,16:00:00,Business,1,Entire Builder System to Bob Thielen,Bob Thielen,Sent; will follow-up on Friday to help install and demo,01/20/15,13:10:06,
2015/01/15,15:59:36,2015/01/22,16:00:00,Business,1,Add Color selection screens and GECA Technology usage to Builder manual,BuilderGuide.doc,Completed,01/22/15,16:37:19,Late
2015/01/22,07:36:31,2015/01/23,07:00:00,Business,1,Extra Xfer to Josh for Oil Change,Joshua Bentley,Extra $20 for Tiguan Oil Change,01/23/15,07:14:05,Late
2015/01/16,10:03:38,2015/01/23,12:00:00,Business,1,Lunch with Zaineb tomorrow,Caspian Bistro - Minneapolis,On schedule; see Olivia afterwards too!,01/23/15,07:15:25,
2014/12/19,18:27:51,2015/01/22,07:00:00,Business,1,CTX iPAS (#393143) - Fortify should be setup mid Jan 2015,Kohli; Baljeet (200021619),Fortify setup for CTX 1/13/2015,01/28/15,09:39:20,Late
2015/01/22,16:37:22,2015/01/23,18:00:00,Business,1,Design Review Checklist document,Governance,Finished initial draft,01/28/15,13:27:32,Late
2015/01/27,15:19:34,2015/01/29,07:00:00,Personal,1,Nadine meet when; lunch/dinner?,Nadine Allaf,Dinner on Sunday,01/29/15,07:33:49,Late
2014/09/18,09:02:31,2015/01/29,07:00:00,Personal,2,Wedding Photos,Puneeta,Showed wedding photos; nice talk; her 10yr old son is in love and talking marriage about a girl that doesn't know he likes her.,01/29/15,14:35:00,Late
2015/01/28,13:26:50,2015/01/29,07:00:00,Business,1,GEC Technology Install,Lakshmi,Installed and instructed. Initially couldn't run beditwin even though it was in the path; so I copied the exe to the builder directory to force GEC Technology to work.,01/29/15,15:03:54,Late
2015/01/28,09:04:05,2015/01/29,07:00:00,Business,1,Add front end components to Architecture Doc Template,Ann Dvoretsky,Added Ann's questions to the template.,01/29/15,15:12:26,Late
